order_id,customer_id,product,region,order_date,quantity,unit_price
ORD0062,C1016,Headphones,Mansoura,11/01/2026,5,
ORD0124,C1013,Laptop,cairo,2026/01/05,4,38.96
ORD0135,C1030,USB Cable,Cairo,2026-01-12,10,$256.17
ORD0147,C1004,USB Cable,ASWAN,28/01/2026,6,114.68
ORD0178,C1041,Desk Chair,GIZA,2026-01-21,5,181.7
ORD0182,C1022,Desk Chair,aswan,15/01/2026,8,25.97
ORD0067,C1007,Monitor,Cairo,2026-01-08,5,425.9
ORD0018,C1042,Headphones,Aswan,2026/01/07,4,$357.91
ORD0091,C1006,Keyboard,Aswan,03/01/2026,6,$207.13
ORD0008,C1040,Mouse,Aswan,2026-01-08,8,192.83
ORD0167,C1028,Keyboard,Giza,27/01/2026,2,$473.47
ORD0061,C1003,Laptop,Mansoura,2026/01/03,7,72.17
ORD0151,C1022,Keyboard,MANSOURA,2026/01/15,5,399.18
ORD0065,C1049,Monitor,Mansoura,2026/01/06,10,482.05
ORD0189,C1040,Webcam,Giza,10/01/2026,3,357.35
ORD0027,C1003,Desk Chair,Giza,2026/01/26,8,$81.62
ORD0089,C1043,Headphones,CAIRO,2026/01/22,10,475.64
ORD0053,C1035,Desk Chair,Cairo,04/01/2026,3,401.7
ORD0020,C1021,Monitor,CAIRO,2026-01-21,4,$38.36
ORD0054,C1030,Webcam,Mansoura,17/01/2026,9,$225.73
ORD0041,C1030,USB Cable,ALEXANDRIA,2026/01/26,2,
ORD0057,C1026,Keyboard,ALEXANDRIA,14/01/2026,9,$235.63
ORD0006,C1024,Monitor,CAIRO,08/01/2026,2,428.38
ORD0172,C1018,Mouse,Cairo,2026-01-18,9,289.65
ORD0015,C1049,Mouse,Giza,2026-01-07,6,382.44
ORD0090,C1017,Headphones,ASWAN,2026-01-25,8,261.89
ORD0184,C1049,Keyboard,CAIRO,2026/01/20,8,$22.23
ORD0179,C1024,Webcam,GIZA,12/01/2026,7,372.94
ORD0032,C1022,Laptop,Mansoura,2026-01-04,9,
ORD0088,C1038,USB Cable,Giza,2026/01/03,1,445.26
ORD0106,C1023,Mouse,Cairo,2026-01-01,6,$399.09
ORD0183,C1043,USB Cable,Giza,2026-01-02,7,184.84
ORD0049,C1042,Webcam,Mansoura,17/01/2026,3,$331.13
ORD0108,C1029,Monitor,mansoura,2026/01/15,,232.49
ORD0100,C1012,Desk Chair,Aswan,2026/01/25,7,$230.4
ORD0080,C1031,Desk Chair,mansoura,02/01/2026,8,$61.47
ORD0150,C1020,Desk Chair,Aswan,2026/01/19,10,164.99
ORD0081,C1035,Mouse,aswan,2026/01/05,,$47.16
ORD0161,C1049,Mouse,giza,2026/01/25,9,$23.69
ORD0022,C1026,Desk Chair,Alexandria,2026-01-07,2,$331.2
ORD0062,C1016,Headphones,Mansoura,11/01/2026,5,
ORD0075,C1017,Headphones,Aswan,12/01/2026,9,168.74
ORD0185,C1048,Webcam,Giza,2026-01-20,8,$474.67
ORD0186,C1007,Mouse,ASWAN,12/01/2026,6,$326.53
ORD0059,C1031,USB Cable,Mansoura,2026/01/26,4,$246.67
ORD0197,C1026,Laptop,CAIRO,2026/01/21,5,327.31
ORD0024,C1004,Monitor,ALEXANDRIA,2026-01-15,7,95.83
ORD0007,C1043,Headphones,Mansoura,12/01/2026,4,336.74
ORD0079,C1018,Laptop,Cairo,2026/01/05,8,
ORD0107,C1024,USB Cable,ALEXANDRIA,2026/01/14,3,$89.14
ORD0029,C1036,Mouse,ALEXANDRIA,2026/01/03,4,204.87
ORD0085,C1016,Headphones,CAIRO,23/01/2026,8,$40.23
ORD0095,C1000,Desk Chair,MANSOURA,2026/01/21,4,$356.34
ORD0005,C1023,Desk Chair,ASWAN,2026-01-13,9,150.12
ORD0164,C1028,Monitor,Giza,2026-01-27,6,340.76
ORD0145,C1020,Desk Chair,Cairo,19/01/2026,7,148.31
ORD0126,C1015,Headphones,ALEXANDRIA,2026-01-28,3,12.36
ORD0137,C1021,Laptop,Aswan,2026-01-09,3,140.27
ORD0163,C1014,Laptop,Mansoura,2026/01/15,5,377.43
ORD0181,C1019,USB Cable,aswan,10/01/2026,2,44.63
ORD0169,C1030,Webcam,Cairo,2026-01-26,3,23.96
ORD0077,C1018,Keyboard,ALEXANDRIA,16/01/2026,10,488.42
ORD0171,C1029,USB Cable,cairo,2026-01-04,4,212.81
ORD0042,C1021,Monitor,Alexandria,2026-01-10,4,$16.71
ORD0082,C1037,USB Cable,Aswan,2026/01/25,7,228.0
ORD0084,C1030,Keyboard,ALEXANDRIA,2026-01-03,1,207.22
ORD0176,C1002,Keyboard,Mansoura,2026-01-06,2,359.44
ORD0132,C1027,Monitor,mansoura,11/01/2026,7,$210.91
ORD0039,C1026,Webcam,cairo,2026/01/08,2,180.07
ORD0117,C1016,Mouse,MANSOURA,2026-01-18,8,187.45
ORD0133,C1006,Webcam,giza,2026-01-16,2,$416.73
ORD0122,C1034,Laptop,GIZA,2026-01-15,6,54.18
ORD0086,C1004,Monitor,MANSOURA,2026/01/08,3,454.66
ORD0036,C1021,Desk Chair,Giza,2026/01/03,7,$415.53
ORD0010,C1035,Webcam,Alexandria,21/01/2026,3,$136.12
ORD0192,C1028,Desk Chair,Aswan,2026-01-19,3,486.33
ORD0011,C1003,Headphones,Aswan,2026-01-12,3,$257.22
ORD0129,C1028,Headphones,mansoura,16/01/2026,7,344.62
ORD0191,C1046,Webcam,Mansoura,2026-01-20,2,158.1
ORD0131,C1041,USB Cable,Aswan,20/01/2026,2,$397.58
ORD0155,C1023,Mouse,aswan,23/01/2026,8,264.41
ORD0051,C1031,Monitor,Mansoura,15/01/2026,10,101.25
ORD0037,C1044,Keyboard,GIZA,2026/01/15,,$282.65
ORD0193,C1027,Desk Chair,Aswan,2026/01/25,10,95.07
ORD0143,C1024,Keyboard,GIZA,2026-01-04,8,$374.77
ORD0087,C1019,Laptop,Alexandria,2026/01/27,5,222.38
ORD0096,C1009,USB Cable,CAIRO,2026-01-27,8,473.8
ORD0101,C1024,Monitor,Aswan,2026-01-14,6,373.63
ORD0025,C1015,Desk Chair,ASWAN,2026/01/21,1,484.65
ORD0033,C1041,Mouse,alexandria,2026/01/27,5,307.78
ORD0031,C1004,Monitor,GIZA,2026-01-13,5,231.33
ORD0157,C1037,Webcam,Cairo,2026/01/09,10,$437.27
ORD0175,C1021,Webcam,Alexandria,2026/01/25,6,$71.04
ORD0160,C1009,Webcam,cairo,07/01/2026,8,100.04
ORD0072,C1044,Laptop,mansoura,07/01/2026,5,173.47
ORD0141,C1043,USB Cable,Mansoura,2026/01/07,2,$175.86
ORD0116,C1023,Desk Chair,CAIRO,2026/01/08,,483.8
ORD0130,C1020,Mouse,cairo,05/01/2026,10,318.37
ORD0099,C1009,Headphones,,2026/01/10,10,499.46
ORD0019,C1014,Webcam,Mansoura,2026-01-08,2,172.35
ORD0101,C1024,Monitor,Aswan,2026-01-14,6,373.63
ORD0142,C1013,Desk Chair,aswan,2026/01/13,1,$8.81
ORD0093,C1033,Webcam,Cairo,2026-01-17,9,$233.68
ORD0050,C1002,Webcam,Cairo,22/01/2026,4,$404.25
ORD0144,C1001,Monitor,Aswan,2026-01-12,7,$431.57
ORD0146,C1037,Keyboard,Aswan,2026-01-12,7,$423.02
ORD0014,C1032,Mouse,Giza,2026/01/24,5,486.08
ORD0103,C1016,Mouse,aswan,05/01/2026,3,42.04
ORD0012,C1029,Mouse,Alexandria,2026/01/14,2,195.46
ORD0195,C1005,Mouse,GIZA,18/01/2026,3,314.39
ORD0104,C1045,Webcam,Aswan,28/01/2026,9,$193.1
ORD0094,C1018,Webcam,Aswan,2026-01-25,4,$137.19
ORD0187,C1013,Laptop,Alexandria,2026-01-18,5,388.61
ORD0068,C1031,Laptop,Giza,2026/01/03,6,11.26
ORD0035,C1016,Keyboard,GIZA,2026/01/07,6,105.78
ORD0111,C1043,Headphones,GIZA,2026/01/27,7,140.87
ORD0028,C1003,Laptop,GIZA,19/01/2026,9,
ORD0003,C1009,USB Cable,alexandria,2026-01-28,3,$350.58
ORD0138,C1001,Webcam,CAIRO,2026/01/05,7,39.44
ORD0074,C1015,Monitor,Mansoura,2026-01-26,2,150.65
ORD0121,C1017,USB Cable,aswan,2026/01/14,2,417.68
ORD0173,C1033,USB Cable,cairo,2026-01-14,2,$264.12
ORD0168,C1001,Webcam,Cairo,2026-01-12,7,$497.29
ORD0153,C1012,USB Cable,Mansoura,2026-01-24,8,454.98
ORD0127,C1030,Webcam,CAIRO,2026-01-02,7,265.41
ORD0073,C1048,Headphones,ASWAN,2026-01-07,4,361.44
ORD0013,C1021,Headphones,aswan,2026-01-24,9,
