order_id,customer_id,product,region,order_date,quantity,unit_price,total_amount,order_month
ORD0060,C1039,Laptop,Mansoura,2026-01-13,3.0,421.05,1263.15,2026-01
ORD0071,C1021,Monitor,Cairo,2026-01-15,8.0,287.08,2296.64,2026-01
ORD0130,C1020,Mouse,Cairo,2026-01-05,10.0,318.37,3183.7,2026-01
ORD0174,C1004,Laptop,Mansoura,2026-01-13,5.0,374.92,1874.6000000000001,2026-01
ORD0148,C1012,Mouse,Unknown,2026-01-12,3.0,121.95,365.85,2026-01
ORD0063,C1041,Mouse,Mansoura,2026-01-18,6.0,115.99,695.9399999999999,2026-01
ORD0166,C1048,Laptop,Mansoura,2026-01-04,9.0,426.33,3836.97,2026-01
ORD0139,C1020,Mouse,Aswan,2026-01-14,6.0,82.92,497.52,2026-01
ORD0134,C1042,Webcam,Alexandria,2026-01-18,6.0,336.66,2019.96,2026-01
ORD0152,C1005,Mouse,Giza,2026-01-12,2.0,324.11,648.22,2026-01
ORD0150,C1020,Desk Chair,Aswan,2026-01-19,10.0,164.99,1649.9,2026-01
ORD0112,C1012,Laptop,Aswan,2026-01-10,10.0,401.96,4019.6,2026-01
ORD0154,C1045,Webcam,Aswan,2026-01-02,2.0,406.43,812.86,2026-01
ORD0156,C1004,Webcam,Giza,2026-01-22,1.0,395.67,395.67,2026-01
ORD0034,C1047,Laptop,Aswan,2026-01-22,3.0,135.91,407.73,2026-01
ORD0046,C1019,Monitor,Giza,2026-01-11,6.0,333.38,2000.28,2026-01
ORD0070,C1020,Headphones,Aswan,2026-01-16,7.0,413.74,2896.1800000000003,2026-01
ORD0044,C1046,Laptop,Cairo,2026-01-19,1.0,58.66,58.66,2026-01
ORD0069,C1041,Mouse,Mansoura,2026-01-27,3.0,220.57,661.71,2026-01
ORD0128,C1042,Desk Chair,Unknown,2026-01-17,10.0,26.47,264.7,2026-01
ORD0023,C1006,Desk Chair,Cairo,2026-01-04,7.0,365.47,2558.29,2026-01
ORD0194,C1018,Laptop,Cairo,2026-01-06,4.0,176.28,705.12,2026-01
ORD0180,C1005,Webcam,Alexandria,2026-01-26,5.0,401.57,2007.85,2026-01
ORD0124,C1013,Laptop,Cairo,2026-01-05,4.0,38.96,155.84,2026-01
ORD0135,C1030,Usb Cable,Cairo,2026-01-12,10.0,256.17,2561.7000000000003,2026-01
ORD0147,C1004,Usb Cable,Aswan,2026-01-28,6.0,114.68,688.08,2026-01
ORD0178,C1041,Desk Chair,Giza,2026-01-21,5.0,181.7,908.5,2026-01
ORD0182,C1022,Desk Chair,Aswan,2026-01-15,8.0,25.97,207.76,2026-01
ORD0067,C1007,Monitor,Cairo,2026-01-08,5.0,425.9,2129.5,2026-01
ORD0018,C1042,Headphones,Aswan,2026-01-07,4.0,357.91,1431.64,2026-01
ORD0008,C1040,Mouse,Aswan,2026-01-08,8.0,192.83,1542.64,2026-01
ORD0167,C1028,Keyboard,Giza,2026-01-27,2.0,473.47,946.94,2026-01
ORD0061,C1003,Laptop,Mansoura,2026-01-03,7.0,72.17,505.19,2026-01
ORD0151,C1022,Keyboard,Mansoura,2026-01-15,5.0,399.18,1995.9,2026-01
ORD0065,C1049,Monitor,Mansoura,2026-01-06,10.0,482.05,4820.5,2026-01
ORD0189,C1040,Webcam,Giza,2026-01-10,3.0,357.35,1072.0500000000002,2026-01
ORD0027,C1003,Desk Chair,Giza,2026-01-26,8.0,81.62,652.96,2026-01
ORD0089,C1043,Headphones,Cairo,2026-01-22,10.0,475.64,4756.4,2026-01
ORD0053,C1035,Desk Chair,Cairo,2026-01-04,3.0,401.7,1205.1,2026-01
ORD0020,C1021,Monitor,Cairo,2026-01-21,4.0,38.36,153.44,2026-01
ORD0054,C1030,Webcam,Mansoura,2026-01-17,9.0,225.73,2031.57,2026-01
ORD0057,C1026,Keyboard,Alexandria,2026-01-14,9.0,235.63,2120.67,2026-01
ORD0172,C1018,Mouse,Cairo,2026-01-18,9.0,289.65,2606.85,2026-01
ORD0015,C1049,Mouse,Giza,2026-01-07,6.0,382.44,2294.64,2026-01
ORD0090,C1017,Headphones,Aswan,2026-01-25,8.0,261.89,2095.12,2026-01
ORD0184,C1049,Keyboard,Cairo,2026-01-20,8.0,22.23,177.84,2026-01
ORD0179,C1024,Webcam,Giza,2026-01-12,7.0,372.94,2610.58,2026-01
ORD0088,C1038,Usb Cable,Giza,2026-01-03,1.0,445.26,445.26,2026-01
ORD0106,C1023,Mouse,Cairo,2026-01-01,6.0,399.09,2394.54,2026-01
ORD0183,C1043,Usb Cable,Giza,2026-01-02,7.0,184.84,1293.88,2026-01
ORD0049,C1042,Webcam,Mansoura,2026-01-17,3.0,331.13,993.39,2026-01
ORD0100,C1012,Desk Chair,Aswan,2026-01-25,7.0,230.4,1612.8,2026-01
ORD0080,C1031,Desk Chair,Mansoura,2026-01-02,8.0,61.47,491.76,2026-01
ORD0161,C1049,Mouse,Giza,2026-01-25,9.0,23.69,213.21,2026-01
ORD0022,C1026,Desk Chair,Alexandria,2026-01-07,2.0,331.2,662.4,2026-01
ORD0075,C1017,Headphones,Aswan,2026-01-12,9.0,168.74,1518.66,2026-01
ORD0185,C1048,Webcam,Giza,2026-01-20,8.0,474.67,3797.36,2026-01
ORD0186,C1007,Mouse,Aswan,2026-01-12,6.0,326.53,1959.1799999999998,2026-01
ORD0059,C1031,Usb Cable,Mansoura,2026-01-26,4.0,246.67,986.68,2026-01
ORD0197,C1026,Laptop,Cairo,2026-01-21,5.0,327.31,1636.55,2026-01
ORD0007,C1043,Headphones,Mansoura,2026-01-12,4.0,336.74,1346.96,2026-01
ORD0107,C1024,Usb Cable,Alexandria,2026-01-14,3.0,89.14,267.42,2026-01
ORD0029,C1036,Mouse,Alexandria,2026-01-03,4.0,204.87,819.48,2026-01
ORD0085,C1016,Headphones,Cairo,2026-01-23,8.0,40.23,321.84,2026-01
ORD0095,C1000,Desk Chair,Mansoura,2026-01-21,4.0,356.34,1425.36,2026-01
ORD0005,C1023,Desk Chair,Aswan,2026-01-13,9.0,150.12,1351.08,2026-01
ORD0164,C1028,Monitor,Giza,2026-01-27,6.0,340.76,2044.56,2026-01
ORD0145,C1020,Desk Chair,Cairo,2026-01-19,7.0,148.31,1038.17,2026-01
ORD0126,C1015,Headphones,Alexandria,2026-01-28,3.0,12.36,37.08,2026-01
ORD0137,C1021,Laptop,Aswan,2026-01-09,3.0,140.27,420.81000000000006,2026-01
ORD0163,C1014,Laptop,Mansoura,2026-01-15,5.0,377.43,1887.15,2026-01
ORD0181,C1019,Usb Cable,Aswan,2026-01-10,2.0,44.63,89.26,2026-01
ORD0169,C1030,Webcam,Cairo,2026-01-26,3.0,23.96,71.88,2026-01
ORD0077,C1018,Keyboard,Alexandria,2026-01-16,10.0,488.42,4884.2,2026-01
ORD0171,C1029,Usb Cable,Cairo,2026-01-04,4.0,212.81,851.24,2026-01
ORD0042,C1021,Monitor,Alexandria,2026-01-10,4.0,16.71,66.84,2026-01
ORD0082,C1037,Usb Cable,Aswan,2026-01-25,7.0,228.0,1596.0,2026-01
ORD0084,C1030,Keyboard,Alexandria,2026-01-03,1.0,207.22,207.22,2026-01
ORD0176,C1002,Keyboard,Mansoura,2026-01-06,2.0,359.44,718.88,2026-01
ORD0132,C1027,Monitor,Mansoura,2026-01-11,7.0,210.91,1476.37,2026-01
ORD0039,C1026,Webcam,Cairo,2026-01-08,2.0,180.07,360.14,2026-01
ORD0117,C1016,Mouse,Mansoura,2026-01-18,8.0,187.45,1499.6,2026-01
ORD0133,C1006,Webcam,Giza,2026-01-16,2.0,416.73,833.46,2026-01
ORD0122,C1034,Laptop,Giza,2026-01-15,6.0,54.18,325.08,2026-01
ORD0086,C1004,Monitor,Mansoura,2026-01-08,3.0,454.66,1363.98,2026-01
ORD0036,C1021,Desk Chair,Giza,2026-01-03,7.0,415.53,2908.71,2026-01
ORD0010,C1035,Webcam,Alexandria,2026-01-21,3.0,136.12,408.36,2026-01
ORD0192,C1028,Desk Chair,Aswan,2026-01-19,3.0,486.33,1458.99,2026-01
ORD0011,C1003,Headphones,Aswan,2026-01-12,3.0,257.22,771.6600000000001,2026-01
ORD0129,C1028,Headphones,Mansoura,2026-01-16,7.0,344.62,2412.34,2026-01
ORD0191,C1046,Webcam,Mansoura,2026-01-20,2.0,158.1,316.2,2026-01
ORD0131,C1041,Usb Cable,Aswan,2026-01-20,2.0,397.58,795.16,2026-01
ORD0155,C1023,Mouse,Aswan,2026-01-23,8.0,264.41,2115.28,2026-01
ORD0051,C1031,Monitor,Mansoura,2026-01-15,10.0,101.25,1012.5,2026-01
ORD0193,C1027,Desk Chair,Aswan,2026-01-25,10.0,95.07,950.6999999999999,2026-01
ORD0143,C1024,Keyboard,Giza,2026-01-04,8.0,374.77,2998.16,2026-01
ORD0087,C1019,Laptop,Alexandria,2026-01-27,5.0,222.38,1111.9,2026-01
ORD0096,C1009,Usb Cable,Cairo,2026-01-27,8.0,473.8,3790.4,2026-01
ORD0101,C1024,Monitor,Aswan,2026-01-14,6.0,373.63,2241.7799999999997,2026-01
ORD0025,C1015,Desk Chair,Aswan,2026-01-21,1.0,484.65,484.65,2026-01
ORD0033,C1041,Mouse,Alexandria,2026-01-27,5.0,307.78,1538.8999999999999,2026-01
ORD0031,C1004,Monitor,Giza,2026-01-13,5.0,231.33,1156.65,2026-01
ORD0157,C1037,Webcam,Cairo,2026-01-09,10.0,437.27,4372.7,2026-01
ORD0175,C1021,Webcam,Alexandria,2026-01-25,6.0,71.04,426.24,2026-01
ORD0160,C1009,Webcam,Cairo,2026-01-07,8.0,100.04,800.32,2026-01
ORD0072,C1044,Laptop,Mansoura,2026-01-07,5.0,173.47,867.35,2026-01
ORD0141,C1043,Usb Cable,Mansoura,2026-01-07,2.0,175.86,351.72,2026-01
ORD0099,C1009,Headphones,Unknown,2026-01-10,10.0,499.46,4994.599999999999,2026-01
ORD0019,C1014,Webcam,Mansoura,2026-01-08,2.0,172.35,344.7,2026-01
ORD0142,C1013,Desk Chair,Aswan,2026-01-13,1.0,8.81,8.81,2026-01
ORD0093,C1033,Webcam,Cairo,2026-01-17,9.0,233.68,2103.12,2026-01
ORD0050,C1002,Webcam,Cairo,2026-01-22,4.0,404.25,1617.0,2026-01
ORD0144,C1001,Monitor,Aswan,2026-01-12,7.0,431.57,3020.99,2026-01
ORD0146,C1037,Keyboard,Aswan,2026-01-12,7.0,423.02,2961.14,2026-01
ORD0014,C1032,Mouse,Giza,2026-01-24,5.0,486.08,2430.4,2026-01
ORD0103,C1016,Mouse,Aswan,2026-01-05,3.0,42.04,126.12,2026-01
ORD0012,C1029,Mouse,Alexandria,2026-01-14,2.0,195.46,390.92,2026-01
ORD0195,C1005,Mouse,Giza,2026-01-18,3.0,314.39,943.17,2026-01
ORD0104,C1045,Webcam,Aswan,2026-01-28,9.0,193.1,1737.8999999999999,2026-01
ORD0094,C1018,Webcam,Aswan,2026-01-25,4.0,137.19,548.76,2026-01
ORD0187,C1013,Laptop,Alexandria,2026-01-18,5.0,388.61,1943.0500000000002,2026-01
ORD0068,C1031,Laptop,Giza,2026-01-03,6.0,11.26,67.56,2026-01
ORD0035,C1016,Keyboard,Giza,2026-01-07,6.0,105.78,634.6800000000001,2026-01
ORD0111,C1043,Headphones,Giza,2026-01-27,7.0,140.87,986.09,2026-01
ORD0003,C1009,Usb Cable,Alexandria,2026-01-28,3.0,350.58,1051.74,2026-01
ORD0138,C1001,Webcam,Cairo,2026-01-05,7.0,39.44,276.08,2026-01
ORD0074,C1015,Monitor,Mansoura,2026-01-26,2.0,150.65,301.3,2026-01
ORD0121,C1017,Usb Cable,Aswan,2026-01-14,2.0,417.68,835.36,2026-01
ORD0173,C1033,Usb Cable,Cairo,2026-01-14,2.0,264.12,528.24,2026-01
ORD0168,C1001,Webcam,Cairo,2026-01-12,7.0,497.29,3481.03,2026-01
ORD0153,C1012,Usb Cable,Mansoura,2026-01-24,8.0,454.98,3639.84,2026-01
ORD0127,C1030,Webcam,Cairo,2026-01-02,7.0,265.41,1857.8700000000001,2026-01
ORD0073,C1048,Headphones,Aswan,2026-01-07,4.0,361.44,1445.76,2026-01
