order_id,order_date,customer_id,product_id,product_name,region,quantity,unit_price
ORD00344,2024-11-13,C031,P002,Mechanical Keyboard,Cairo,10,267.44
ORD00188,2024-03-11,C035,P004,Office Chair,Giza,9,317.83
ORD00890,2024-05-08,C032,P002,Mechanical Keyboard,Cairo,3,349.71
ORD01172,01-17-2025,C032,P002,Mechanical Keyboard,Aswan,6,51.15
ORD00575,07-25-2024,C001,P010,Monitor Stand,,8,222.99
ORD01140,07/09/2024,C019,P003,USB-C Hub,Giza,8,130.08
ORD00864,28/11/2024,C025,P003,USB-C Hub,Cairo,8,391.23
ORD00689,2024-08-11,C017,P005,Standing Desk,Aswan,5,239.88
ORD00949,2024-12-15,C027,P002,Mechanical Keyboard,Aswan,8,129.33
ORD00003,23/06/2024,C018,P010,Monitor Stand,Cairo,3,318.69
ORD00686,14/07/2024,C003,P010,Monitor Stand,Cairo,5,234.48
ORD00639,03-28-2024,C034,P001,Wireless Mouse,Alexandria,,434.45
ORD01103,10-10-2024,C011,P005,Standing Desk,Giza,6,-194.83
ORD00060,01-09-2025,C040,P005,Standing Desk,Aswan,8,217.22
ORD00259,2024-03-01,C017,P008,Desk Lamp,Giza,2,206.0
ORD00836,20/10/2024,C020,P010,Monitor Stand,Mansoura,2,62.53
ORD00267,2024-05-20,C013,P007,Gel Pen Pack,Alexandria,5,84.16
ORD00341,08-31-2024,C022,P004,Office Chair,Alexandria,9,292.67
ORD00078,15/02/2024,C019,P008,Desk Lamp,Mansoura,9,30.96
ORD00053,18/04/2024,C012,P008,Desk Lamp,Cairo,5,179.91
ORD00454,20/03/2024,C029,P002,Mechanical Keyboard,Giza,,194.31
ORD00785,11/02/2024,C033,P003,USB-C Hub,Aswan,8,106.02
ORD00444,13/05/2024,C031,P005,Standing Desk,Cairo,8,338.9
ORD01166,06-04-2024,C028,P002,Mechanical Keyboard,Cairo,4,263.34
ORD00038,29/02/2024,C021,P006,Notebook Set,Mansoura,10,443.14
ORD00984,2024-12-18,C010,P006,Notebook Set,Giza,2,19.19
ORD00265,18/04/2024,C035,P002,Mechanical Keyboard,Mansoura,4,436.14
ORD00590,30/08/2024,C013,P001,Wireless Mouse,Cairo,3,313.08
ORD00081,2024-02-17,C020,P003,USB-C Hub,Aswan,1,255.23
ORD00596,11-22-2024,C022,P003,USB-C Hub,Alexandria,5,277.58
ORD00479,20/11/2024,C036,P006,Notebook Set,Giza,6,194.37
ORD00119,2024-09-28,C005,P007,Gel Pen Pack,Alexandria,1,54.91
ORD00794,17/04/2024,C026,P003,USB-C Hub,Alexandria,4,329.65
ORD00721,05/07/2024,C033,P008,Desk Lamp,Mansoura,2,82.12
ORD00733,09-21-2024,C025,P003,USB-C Hub,Aswan,4,60.77
ORD00029,02-24-2024,C020,P009,Webcam HD,Cairo,3,130.04
ORD00918,2024-11-03,C006,P004,Office Chair,Giza,3,-423.29
ORD00250,2024-06-15,C037,P002,Mechanical Keyboard,Cairo,9,96.33
ORD00013,06-01-2024,C012,P009,Webcam HD,Aswan,2,393.68
ORD01136,23/06/2024,C020,P001,Wireless Mouse,Giza,9,167.55
ORD00109,04-23-2024,C033,P006,Notebook Set,Aswan,2,211.62
ORD00343,06/06/2024,C006,P006,Notebook Set,Alexandria,6,112.15
ORD00558,30/05/2024,C022,P010,Monitor Stand,Mansoura,6,432.85
ORD00118,25/12/2024,C039,P001,Wireless Mouse,Giza,1,93.48
ORD00302,06-12-2024,C021,P009,Webcam HD,Mansoura,5,93.22
ORD00240,05-29-2024,C002,P009,Webcam HD,Mansoura,4,205.73
ORD00268,2025-01-21,C004,P003,USB-C Hub,Mansoura,5,330.8
ORD01150,03-19-2024,,P004,Office Chair,Mansoura,2,330.0
ORD00269,2024-08-15,C009,P002,Mechanical Keyboard,Aswan,,240.96
ORD00197,12-17-2024,C008,P001,Wireless Mouse,Mansoura,5,84.48
ORD00950,03-22-2024,C001,P009,Webcam HD,Alexandria,2,141.44
ORD00477,07-31-2024,C037,P004,Office Chair,Alexandria,9,340.9
ORD00195,2024-02-18,C033,P007,Gel Pen Pack,,2,189.36
ORD01014,10-23-2024,C027,P010,Monitor Stand,Giza,5,97.9
ORD00511,2024-02-27,C030,P003,USB-C Hub,Mansoura,2,329.35
ORD00649,11/09/2024,C032,P009,Webcam HD,Mansoura,4,142.7
ORD00438,07-20-2024,C031,P007,Gel Pen Pack,Aswan,1,233.58
ORD00827,29/08/2024,C006,P008,Desk Lamp,Giza,7,179.31
ORD00647,04-28-2024,C007,P008,Desk Lamp,Cairo,5,227.86
ORD00139,2024-03-24,C040,P006,Notebook Set,Alexandria,10,178.87
ORD00023,2024-09-06,C019,P008,Desk Lamp,Mansoura,9,302.91
ORD00070,14/08/2024,C040,P010,Monitor Stand,Alexandria,9,180.46
ORD00595,12-20-2024,C018,P006,Notebook Set,Alexandria,6,70.34
ORD00506,2024-07-30,C003,P004,Office Chair,Mansoura,1,417.56
ORD01107,03/06/2024,C021,P005,Standing Desk,Mansoura,9,338.42
ORD00296,2024-03-12,C036,P009,Webcam HD,Alexandria,,215.99
ORD00489,11-11-2024,C032,P004,Office Chair,Mansoura,10,100.3
ORD00710,13/04/2024,C031,P008,Desk Lamp,,8,269.57
ORD00334,05-12-2024,C038,P008,Desk Lamp,Aswan,6,164.75
ORD00549,2024-10-25,C020,P010,Monitor Stand,Mansoura,6,445.78
ORD00825,2024-10-08,C014,P003,USB-C Hub,Alexandria,2,90.55
ORD00470,31/05/2024,C011,P009,Webcam HD,Cairo,9,82.44
ORD00185,2024-04-08,C035,P006,Notebook Set,Giza,5,280.38
ORD01007,2024-08-21,C005,P006,Notebook Set,Alexandria,3,159.49
ORD00172,24/02/2024,C026,P006,Notebook Set,Alexandria,6,239.02
ORD00990,20/08/2024,C004,P010,Monitor Stand,Mansoura,5,317.96
ORD00945,14/03/2024,C037,P003,USB-C Hub,Mansoura,2,365.06
ORD00508,09-25-2024,C026,P006,Notebook Set,Aswan,10,273.31
ORD00635,10/02/2024,C020,P004,Office Chair,Alexandria,4,71.64
ORD00732,29/04/2024,C038,P004,Office Chair,Aswan,9,382.36
ORD00873,05-10-2024,C011,P007,Gel Pen Pack,Mansoura,8,51.22
ORD00994,03-16-2024,C030,P010,Monitor Stand,Cairo,3,153.91
ORD00192,05/01/2024,C032,P007,Gel Pen Pack,Alexandria,5,396.38
ORD00072,27/12/2024,C031,P010,Monitor Stand,Giza,1,115.69
ORD00957,10-14-2024,C023,P007,Gel Pen Pack,Aswan,7,373.01
ORD01073,10-21-2024,C005,P002,Mechanical Keyboard,Alexandria,10,234.02
ORD01046,03/08/2024,C031,P010,Monitor Stand,Giza,1,29.04
ORD01115,2024-09-10,C029,P004,Office Chair,Cairo,1,400.19
ORD00927,2024-11-30,C039,P007,Gel Pen Pack,Giza,3,363.93
ORD00022,2024-07-24,C011,P004,Office Chair,Mansoura,8,-224.39
ORD01125,2025-01-24,C028,P008,Desk Lamp,Mansoura,6,146.61
ORD00112,2024-12-25,C030,P005,Standing Desk,Aswan,10,202.14
ORD00833,2024-11-26,C003,P008,Desk Lamp,Giza,1,318.4
ORD00110,08-06-2024,C002,P008,Desk Lamp,Cairo,8,383.57
ORD01032,2024-06-30,C003,P005,Standing Desk,Aswan,8,33.54
ORD01037,03-30-2024,C021,P008,Desk Lamp,Alexandria,4,60.86
ORD01000,2025-01-16,C007,P010,Monitor Stand,Alexandria,8,396.15
ORD00777,06-20-2024,C039,P008,Desk Lamp,Giza,10,261.25
ORD00659,02-04-2024,C038,P002,Mechanical Keyboard,Cairo,10,161.52
ORD00589,01-24-2025,C008,P004,Office Chair,Aswan,2,284.23
ORD00251,28/02/2024,C039,P006,Notebook Set,Mansoura,10,185.76
ORD00642,08-21-2024,C021,P002,Mechanical Keyboard,Mansoura,2,182.38
ORD00542,27/02/2024,C030,P006,Notebook Set,Mansoura,1,43.43
ORD01076,07-04-2024,C023,P002,Mechanical Keyboard,Aswan,9,48.25
ORD00137,04/07/2024,C006,P009,Webcam HD,Mansoura,9,172.4
ORD01141,2024-10-18,C003,P003,USB-C Hub,Aswan,7,82.73
ORD00241,01/01/2025,C020,P003,USB-C Hub,Alexandria,5,301.52
ORD00399,2024-11-13,C023,P006,Notebook Set,Alexandria,4,58.52
ORD00327,29/07/2024,C007,P010,Monitor Stand,Giza,9,397.86
ORD00924,18/05/2024,C040,P005,Standing Desk,Giza,6,395.8
ORD00338,07/11/2024,C033,P001,Wireless Mouse,Giza,9,296.59
ORD00345,2024-03-18,C020,P009,Webcam HD,Mansoura,1,393.82
ORD00123,17/01/2025,C019,P005,Standing Desk,Giza,2,18.36
ORD00234,02-13-2024,C001,P007,Gel Pen Pack,Giza,7,183.69
ORD01132,03-19-2024,C024,P001,Wireless Mouse,Cairo,10,404.01
ORD00926,2024-03-06,C028,P010,Monitor Stand,Giza,3,54.34
ORD00459,01-26-2024,C032,P010,Monitor Stand,Alexandria,,23.44
ORD01056,03-11-2024,C032,P010,Monitor Stand,Giza,2,103.55
ORD01047,10-15-2024,C004,P006,Notebook Set,Alexandria,8,46.72
ORD00766,2024-04-10,C015,P001,Wireless Mouse,Mansoura,2,413.89
ORD00376,10-10-2024,C020,P009,Webcam HD,Aswan,6,324.67
ORD00263,2024-11-20,C018,P010,Monitor Stand,Mansoura,7,211.62
ORD00064,25/06/2024,C038,P005,Standing Desk,Giza,8,255.76
ORD00453,11-23-2024,C039,P010,Monitor Stand,Mansoura,10,204.22
ORD00906,07/03/2024,C002,P009,Webcam HD,Alexandria,10,134.25
ORD01001,2024-10-08,C029,P009,Webcam HD,Giza,5,66.47
ORD01173,06-29-2024,C010,P001,Wireless Mouse,Aswan,10,87.53
ORD01031,2024-08-05,C026,P005,Standing Desk,,,216.82
ORD00280,29/02/2024,C004,P004,Office Chair,Alexandria,2,417.21
ORD00396,10-02-2024,C003,P002,Mechanical Keyboard,Cairo,10,274.54
ORD00169,11-24-2024,C003,P010,Monitor Stand,Cairo,2,34.78
ORD00339,2024-09-21,C018,P006,Notebook Set,Giza,5,96.94
ORD01080,12-22-2024,C025,P009,Webcam HD,Mansoura,6,70.44
ORD00473,2024-04-08,C012,P003,USB-C Hub,Cairo,4,61.57
ORD00560,22/05/2024,C006,P008,Desk Lamp,,9,48.44
ORD01065,01-30-2024,C023,P001,Wireless Mouse,Mansoura,9,109.76
ORD00584,2024-06-13,C021,P007,Gel Pen Pack,Cairo,10,252.46
ORD00905,2025-01-02,C036,P005,Standing Desk,Giza,6,210.09
ORD00026,01/01/2025,C034,P010,Monitor Stand,Giza,5,103.85
ORD00405,11-10-2024,C024,P007,Gel Pen Pack,Aswan,1,303.27
ORD00793,25/07/2024,,P001,Wireless Mouse,Giza,6,355.66
ORD01185,07-22-2024,C029,P001,Wireless Mouse,Mansoura,1,142.44
ORD00608,01/04/2024,C013,P002,Mechanical Keyboard,Mansoura,2,49.87
ORD00627,05-12-2024,C024,P010,Monitor Stand,Aswan,8,261.02
ORD00607,08-19-2024,C031,P002,Mechanical Keyboard,Aswan,9,406.26
ORD01084,10-15-2024,C015,P002,Mechanical Keyboard,Giza,8,163.39
ORD01020,08-01-2024,C038,P006,Notebook Set,Alexandria,4,123.76
ORD00398,07/02/2024,C004,P010,Monitor Stand,Aswan,8,295.43
ORD00860,29/12/2024,C021,P003,USB-C Hub,Aswan,1,384.67
ORD00210,10-29-2024,C020,P007,Gel Pen Pack,Giza,1,257.17
ORD00895,28/05/2024,C028,P006,Notebook Set,Aswan,1,203.93
ORD00294,12-22-2024,C006,P002,Mechanical Keyboard,Alexandria,5,374.48
ORD00724,01-02-2025,C002,P006,Notebook Set,Mansoura,3,350.02
ORD00699,17/07/2024,C024,P002,Mechanical Keyboard,Aswan,4,227.99
ORD01157,06/01/2024,C037,P003,USB-C Hub,Aswan,7,313.54
ORD00779,04/01/2024,C025,P006,Notebook Set,Alexandria,,95.15
ORD00797,2024-10-17,C035,P007,Gel Pen Pack,Giza,6,270.33
ORD00612,2024-05-27,C011,P005,Standing Desk,Giza,4,225.65
ORD00845,22/11/2024,C033,P008,Desk Lamp,Mansoura,,16.36
ORD00798,14/04/2024,C039,P010,Monitor Stand,Aswan,7,441.37
ORD00708,2024-11-28,C002,P002,Mechanical Keyboard,Alexandria,1,106.01
ORD00750,2024-07-27,C018,P002,Mechanical Keyboard,Cairo,6,217.2
ORD00218,10-23-2024,C002,P003,USB-C Hub,Giza,9,421.62
ORD00154,15/01/2025,C008,P005,Standing Desk,Giza,7,401.93
ORD00516,09-12-2024,C040,P001,Wireless Mouse,Giza,1,214.51
ORD00701,27/08/2024,C032,P003,USB-C Hub,Aswan,9,51.53
ORD00675,2024-09-16,C028,P006,Notebook Set,Cairo,3,318.84
ORD00645,31/10/2024,C005,P003,USB-C Hub,Giza,4,162.3
ORD00056,01-17-2025,C017,P008,Desk Lamp,Giza,3,278.56
ORD00333,03-04-2024,C024,P005,Standing Desk,Mansoura,9,187.67
ORD00772,2024-02-22,C034,P008,Desk Lamp,Giza,10,98.73
ORD00587,23/11/2024,C027,P005,Standing Desk,Mansoura,3,104.68
ORD00522,11-18-2024,C040,P004,Office Chair,Cairo,2,263.54
ORD00247,2024-02-28,C005,P006,Notebook Set,Giza,1,367.43
ORD00271,11-08-2024,C010,P003,USB-C Hub,Cairo,9,260.03
ORD01123,01-12-2025,C022,P007,Gel Pen Pack,Aswan,10,278.08
ORD00681,08-20-2024,C001,P002,Mechanical Keyboard,Aswan,7,351.41
ORD00880,23/11/2024,C037,P007,Gel Pen Pack,Giza,1,414.52
ORD00900,2024-01-01,C016,P007,Gel Pen Pack,Giza,1,94.06
ORD00948,2024-12-14,C019,P006,Notebook Set,Mansoura,7,387.8
ORD00688,06/03/2024,C017,P003,USB-C Hub,Cairo,6,34.21
ORD00931,2024-12-25,C025,P003,USB-C Hub,Cairo,7,176.68
ORD00079,22/09/2024,C035,P001,Wireless Mouse,Mansoura,7,38.58
ORD01049,2024-04-26,C028,P006,Notebook Set,Mansoura,5,354.97
ORD00084,08-16-2024,C038,P005,Standing Desk,Aswan,8,391.39
ORD00002,01-14-2024,C006,P001,Wireless Mouse,Alexandria,4,234.83
ORD00289,2024-09-28,C001,P006,Notebook Set,Mansoura,5,60.22
ORD00972,05-05-2024,C016,P003,USB-C Hub,Alexandria,5,99.32
ORD00640,2024-02-24,C024,P008,Desk Lamp,Aswan,3,206.25
ORD00912,2024-05-23,C001,P001,Wireless Mouse,Giza,4,-332.76
ORD00242,07-03-2024,C035,P007,Gel Pen Pack,Aswan,7,251.49
ORD00371,01-15-2025,C011,P001,Wireless Mouse,Mansoura,3,372.5
ORD00417,2024-03-01,C039,P010,Monitor Stand,Cairo,9,233.95
ORD01099,05/08/2024,C021,P005,Standing Desk,Mansoura,7,366.93
ORD00143,19/05/2024,C008,P009,Webcam HD,Giza,2,346.96
ORD00578,02/07/2024,C020,P004,Office Chair,Mansoura,2,289.32
ORD01144,31/08/2024,C007,P006,Notebook Set,Giza,1,84.06
ORD00374,2024-03-06,C033,P008,Desk Lamp,Alexandria,10,90.54
ORD00006,2024-07-05,C025,P002,Mechanical Keyboard,Giza,8,291.52
ORD00347,2024-09-07,C014,P005,Standing Desk,Alexandria,10,347.55
ORD00515,08/01/2025,C012,P003,USB-C Hub,Cairo,7,149.01
ORD00859,24/05/2024,C026,P006,Notebook Set,Mansoura,2,244.61
ORD00738,01/03/2024,C037,P006,Notebook Set,Giza,1,242.41
ORD00389,05-31-2024,C033,P006,Notebook Set,Aswan,8,226.76
ORD00691,14/10/2024,C003,P008,Desk Lamp,Mansoura,6,445.14
ORD00621,08-16-2024,C019,P001,Wireless Mouse,Giza,6,149.02
ORD00674,2024-05-20,C029,P003,USB-C Hub,Giza,7,358.35
ORD00576,02/07/2024,C008,P008,Desk Lamp,Aswan,9,421.74
ORD00090,10/07/2024,C003,P001,Wireless Mouse,Giza,1,142.61
ORD01055,16/05/2024,C036,P006,Notebook Set,Giza,4,244.18
ORD00671,01-13-2025,C020,P006,Notebook Set,Cairo,10,30.14
ORD00903,10-27-2024,C007,P002,Mechanical Keyboard,Alexandria,10,67.35
ORD00920,2024-01-23,C018,P009,Webcam HD,Aswan,2,24.23
ORD00821,10/07/2024,C016,P007,Gel Pen Pack,Aswan,2,41.07
ORD00024,09-14-2024,C021,P001,Wireless Mouse,Cairo,1,269.12
ORD00486,10-03-2024,C004,P007,Gel Pen Pack,Giza,9,32.91
ORD00953,19/04/2024,C035,P001,Wireless Mouse,Alexandria,8,78.3
ORD00305,2024-10-15,C002,P010,Monitor Stand,Giza,10,260.17
ORD01130,2024-07-22,C018,P010,Monitor Stand,Cairo,5,294.13
ORD00555,22/10/2024,C033,P004,Office Chair,Giza,7,418.06
ORD01069,06-15-2024,C008,P008,Desk Lamp,Aswan,2,118.09
ORD00722,2024-03-28,C016,P001,Wireless Mouse,Mansoura,6,139.74
ORD00094,03/12/2024,C037,P006,Notebook Set,Giza,5,24.54
ORD00176,01-27-2024,C024,P005,Standing Desk,Mansoura,6,34.68
ORD01010,09/05/2024,C023,P008,Desk Lamp,Aswan,5,303.58
ORD00243,11-26-2024,C023,P004,Office Chair,Alexandria,10,34.27
ORD00460,2024-09-09,C001,P008,Desk Lamp,Alexandria,2,80.55
ORD00293,03-02-2024,C011,P002,Mechanical Keyboard,Mansoura,8,151.6
ORD00424,11-10-2024,C033,P004,Office Chair,Mansoura,6,363.37
ORD01002,01-26-2024,C004,P006,Notebook Set,Mansoura,5,175.85
ORD01163,2025-01-07,C012,P004,Office Chair,Cairo,9,56.14
ORD00484,02-18-2024,C012,P008,Desk Lamp,Mansoura,10,371.49
ORD00348,09/01/2025,C025,P008,Desk Lamp,Cairo,1,247.2
ORD00548,07-18-2024,C010,P001,Wireless Mouse,Alexandria,8,246.1
ORD00504,04-28-2024,C040,P010,Monitor Stand,Giza,10,261.66
ORD00867,10-01-2024,C012,P009,Webcam HD,Mansoura,1,186.3
ORD00941,2025-01-31,C022,P002,Mechanical Keyboard,Mansoura,,58.94
ORD00599,2024-12-22,C003,P009,Webcam HD,,9,186.53
ORD00958,12/09/2024,C001,P006,Notebook Set,Alexandria,8,421.21
ORD00100,2024-08-29,C025,P010,Monitor Stand,Giza,2,308.55
ORD00502,2025-01-03,C011,P010,Monitor Stand,Giza,2,257.44
ORD00573,01/01/2025,C014,P007,Gel Pen Pack,Aswan,2,411.99
ORD00853,07-13-2024,C037,P002,Mechanical Keyboard,Giza,3,386.2
ORD00494,2024-03-28,C025,P001,Wireless Mouse,Aswan,9,33.91
ORD00037,2024-05-13,C022,P009,Webcam HD,Cairo,2,396.51
ORD00062,05-21-2024,C022,P005,Standing Desk,Giza,,320.01
ORD00184,05/12/2024,C009,P001,Wireless Mouse,Aswan,4,258.99
ORD00713,2024-08-11,C032,P002,Mechanical Keyboard,Aswan,6,210.02
ORD00004,01-23-2024,C023,P002,Mechanical Keyboard,Giza,10,130.07
ORD00832,07-07-2024,C023,P005,Standing Desk,Aswan,8,291.22
ORD00355,24/02/2024,C033,P002,Mechanical Keyboard,Aswan,2,137.98
ORD00074,08-27-2024,C039,P005,Standing Desk,Aswan,5,206.03
ORD00858,2024-12-03,C012,P001,Wireless Mouse,Mansoura,7,145.11
ORD00261,09-20-2024,C021,P003,USB-C Hub,Giza,5,264.14
ORD00422,12/10/2024,C026,P005,Standing Desk,Alexandria,7,255.17
ORD00120,2024-03-20,C037,P006,Notebook Set,Aswan,2,399.25
ORD00662,01-31-2024,C040,P009,Webcam HD,Mansoura,10,331.08
ORD00878,2024-01-25,C036,P005,Standing Desk,Giza,10,58.09
ORD00349,25/06/2024,C001,P001,Wireless Mouse,Alexandria,4,316.68
ORD01145,08-12-2024,C030,P003,USB-C Hub,Aswan,3,342.14
ORD01199,2024-08-14,C021,P001,Wireless Mouse,Cairo,4,223.06
ORD00492,2024-05-27,C004,P002,Mechanical Keyboard,Alexandria,10,418.13
ORD00843,01/07/2024,C026,P006,Notebook Set,Mansoura,10,-39.9
ORD01191,07/01/2024,C014,P001,Wireless Mouse,Aswan,5,79.54
ORD00360,24/07/2024,C006,P005,Standing Desk,Giza,6,94.55
ORD00252,2024-06-09,C040,P005,Standing Desk,Aswan,2,307.37
ORD00717,2024-09-14,C023,P005,Standing Desk,Alexandria,3,375.16
ORD00751,10-11-2024,C036,P005,Standing Desk,Aswan,2,122.15
ORD00695,01-23-2024,C018,P008,Desk Lamp,Aswan,1,158.3
ORD00406,24/01/2025,C010,P010,Monitor Stand,Mansoura,6,32.58
ORD00142,01-27-2024,C013,P003,USB-C Hub,Aswan,3,394.76
ORD01190,2024-12-21,C031,P005,Standing Desk,Mansoura,5,82.18
ORD01158,08-18-2024,C017,P007,Gel Pen Pack,Cairo,10,366.1
ORD00033,06-30-2024,C023,P001,Wireless Mouse,Alexandria,4,305.12
ORD00076,2025-01-25,C038,P010,Monitor Stand,Cairo,5,265.67
ORD00761,22/11/2024,C014,P010,Monitor Stand,Cairo,4,443.15
ORD00178,2024-09-13,C010,P006,Notebook Set,Alexandria,10,236.47
ORD00939,10-18-2024,C003,P004,Office Chair,Alexandria,5,51.99
ORD01194,01/07/2024,C018,P003,USB-C Hub,Aswan,2,297.75
ORD00230,07-01-2024,C002,P006,Notebook Set,Giza,8,228.41
ORD00434,2024-06-30,C005,P006,Notebook Set,Aswan,3,222.3
ORD00603,01-29-2024,C006,P004,Office Chair,Aswan,6,335.06
ORD00088,11-16-2024,C022,P002,Mechanical Keyboard,Aswan,7,430.05
ORD01074,23/09/2024,C004,P009,Webcam HD,Aswan,8,301.75
ORD00224,26/07/2024,C023,P005,Standing Desk,Giza,7,49.37
ORD01048,2024-09-02,C039,P007,Gel Pen Pack,Aswan,2,401.07
ORD00692,03-27-2024,C006,P006,Notebook Set,Alexandria,5,93.58
ORD01095,08/12/2024,C012,P009,Webcam HD,Giza,4,395.64
ORD00561,03/12/2024,C039,P002,Mechanical Keyboard,Alexandria,10,336.45
ORD00917,2024-01-11,C001,P003,USB-C Hub,Aswan,2,179.38
ORD00991,2024-01-06,C007,P010,Monitor Stand,Cairo,4,35.81
ORD00729,06-08-2024,C019,P009,Webcam HD,Alexandria,2,237.58
ORD00818,02-18-2024,C035,P002,Mechanical Keyboard,Aswan,3,124.59
ORD01079,18/01/2024,C036,P005,Standing Desk,Mansoura,,69.98
ORD00393,07/02/2024,C005,P010,Monitor Stand,Aswan,1,319.88
ORD00513,20/11/2024,C008,P003,USB-C Hub,Cairo,2,322.21
ORD00744,2024-09-24,C035,P010,Monitor Stand,Aswan,1,431.42
ORD00491,2024-01-23,C040,P006,Notebook Set,Mansoura,10,78.43
ORD00884,2025-01-16,C008,P009,Webcam HD,Mansoura,1,283.08
ORD00310,20/10/2024,C009,P005,Standing Desk,Alexandria,1,427.72
ORD00911,12-27-2024,C039,P006,Notebook Set,Giza,6,51.21
ORD00591,23/01/2025,C014,P005,Standing Desk,Mansoura,5,160.42
ORD00275,11-22-2024,,P004,Office Chair,Mansoura,2,119.87
ORD00747,2024-05-26,C006,P005,Standing Desk,Cairo,2,250.67
ORD01096,21/01/2025,C007,P005,Standing Desk,Alexandria,2,433.87
ORD00754,2024-05-24,C023,P007,Gel Pen Pack,Alexandria,10,380.7
ORD01072,07-12-2024,C033,P009,Webcam HD,Aswan,6,423.87
ORD01178,30/11/2024,C030,P006,Notebook Set,Alexandria,2,181.76
ORD00487,23/04/2024,C029,P007,Gel Pen Pack,Aswan,10,234.56
ORD00699,17/07/2024,C024,P002,Mechanical Keyboard,Aswan,4,227.99
ORD00495,03/12/2024,C005,P001,Wireless Mouse,Mansoura,5,-303.4
ORD00452,03/10/2024,C021,P006,Notebook Set,Mansoura,8,439.12
ORD00887,30/05/2024,C035,P004,Office Chair,Cairo,5,145.14
ORD00183,18/03/2024,C013,P002,Mechanical Keyboard,Cairo,8,151.46
ORD00277,31/01/2024,C005,P010,Monitor Stand,Cairo,5,108.85
ORD00623,2024-02-15,C022,P009,Webcam HD,Cairo,10,343.91
ORD00540,23/12/2024,C037,P008,Desk Lamp,Alexandria,2,368.59
ORD00456,14/10/2024,C036,P001,Wireless Mouse,Giza,4,194.11
ORD00778,2024-12-20,C032,P001,Wireless Mouse,Alexandria,1,292.86
ORD00221,2024-04-28,C001,P001,Wireless Mouse,Mansoura,3,-381.51
ORD00420,2025-01-15,,P009,Webcam HD,Giza,4,17.38
ORD00687,09/09/2024,C038,P001,Wireless Mouse,Alexandria,5,88.89
ORD00362,2024-11-09,C012,P008,Desk Lamp,Aswan,7,353.94
ORD00134,11-19-2024,C027,P007,Gel Pen Pack,Giza,10,37.78
ORD00619,08-16-2024,C013,P005,Standing Desk,Cairo,2,249.21
